iter	Passed	Remaining
412	3507	43205
413	3516	43194
414	3525	43193
415	3533	43186
416	3542	43181
417	3549	43150
418	3557	43138
419	3565	43130
420	3571	43087
421	3580	43080
422	3588	43067
423	3596	43059
424	3604	43042
425	3612	43032
426	3621	43022
427	3629	43013
428	3637	43001
429	3645	42979
430	3653	42969
431	3661	42953
432	3669	42941
433	3677	42926
434	3685	42914
435	3693	42904
436	3702	42891
437	3710	42887
438	3719	42875
439	3727	42861
440	3735	42851
441	3743	42843
442	3752	42833
443	3757	42792
444	3766	42785
445	3774	42773
446	3782	42762
447	3790	42746
448	3799	42738
449	3807	42732
450	3816	42724
451	3824	42711
452	3833	42706
453	3842	42705
454	3850	42690
455	3858	42685
456	3867	42675
457	3875	42668
458	3884	42656
459	3892	42647
460	3900	42636
461	3909	42628
462	3917	42618
463	3926	42613
464	3934	42607
465	3942	42593
466	3951	42588
467	3960	42580
468	3968	42572
469	3977	42563
470	3985	42554
471	3991	42524
472	4000	42519
473	4009	42511
474	4015	42480
475	4024	42472
476	4032	42465
477	4041	42458
478	4049	42450
479	4058	42448
480	4067	42440
481	4076	42436
482	4084	42431
483	4093	42421
484	4101	42413
485	4110	42404
486	4118	42399
487	4127	42391
488	4136	42389
489	4145	42386
490	4154	42377
491	4162	42371
492	4171	42366
493	4180	42363
494	4188	42353
495	4194	42319
496	4203	42316
497	4212	42311
498	4220	42299
499	4229	42295
500	4238	42290
501	4246	42283
502	4255	42277
503	4264	42269
504	4273	42271
505	4282	42263
506	4290	42254
507	4299	42248
508	4308	42246
509	4316	42235
510	4325	42227
511	4334	42224
512	4342	42218
513	4351	42209
514	4357	42178
515	4365	42170
516	4374	42158
517	4382	42150
518	4391	42143
519	4400	42146
520	4409	42139
521	4417	42130
522	4426	42120
523	4434	42108
524	4442	42099
525	4451	42098
526	4460	42089
527	4468	42078
528	4477	42073
529	4485	42065
530	4494	42055
531	4502	42046
532	4511	42037
533	4519	42031
534	4528	42024
535	4536	42018
536	4545	42008
537	4554	42002
538	4562	41991
539	4570	41984
540	4579	41974
541	4586	41951
542	4594	41938
543	4602	41929
544	4610	41918
545	4616	41890
546	4625	41882
547	4634	41878
548	4643	41874
549	4651	41866
550	4660	41859
551	4668	41850
552	4677	41844
553	4685	41834
554	4694	41828
555	4703	41825
556	4712	41816
557	4720	41811
558	4729	41805
559	4738	41800
560	4746	41789
561	4755	41783
562	4764	41777
563	4772	41767
564	4780	41757
565	4789	41748
566	4797	41742
567	4805	41730
568	4814	41726
569	4823	41718
570	4831	41710
571	4840	41698
572	4846	41674
573	4854	41663
574	4863	41656
575	4871	41642
576	4879	41634
577	4888	41628
578	4896	41619
579	4905	41608
580	4914	41605
581	4922	41596
582	4930	41586
583	4939	41582
584	4948	41573
585	4957	41574
586	4966	41565
587	4976	41568
588	4985	41568
589	4994	41565
590	5003	41561
591	5012	41554
592	5021	41552
593	5030	41546
594	5038	41538
595	5047	41532
596	5055	41518
597	5064	41511
598	5072	41499
599	5081	41495
600	5089	41490
601	5098	41485
602	5105	41465
603	5112	41442
604	5120	41431
605	5130	41430
606	5138	41423
607	5146	41411
608	5155	41402
609	5164	41396
610	5172	41388
611	5180	41375
612	5189	41370
613	5197	41360
614	5206	41352
615	5214	41340
616	5223	41335
617	5230	41319
618	5238	41309
619	5247	41299
620	5255	41293
621	5264	41285
622	5272	41276
623	5282	41274
624	5290	41266
625	5299	41258
626	5304	41223
627	5309	41193
628	5318	41185
629	5327	41179
630	5335	41167
631	5343	41162
632	5352	41155
633	5361	41146
634	5369	41136
635	5378	41130
636	5386	41122
637	5394	41109
638	5403	41101
639	5411	41094
640	5420	41086
641	5426	41061
642	5435	41059
643	5444	41050
644	5452	41042
645	5460	41029
646	5468	41021
647	5478	41017
648	5486	41012
649	5495	41004
650	5504	41000
651	5513	40995
652	5521	40983
653	5529	40973
654	5537	40962
655	5545	40952
656	5554	40941
657	5562	40936
658	5571	40927
659	5579	40914
660	5586	40896
661	5594	40883
662	5602	40870
663	5610	40859
664	5618	40847
665	5626	40839
666	5634	40829
667	5643	40819
668	5651	40809
669	5660	40804
670	5668	40798
671	5677	40786
672	5685	40779
673	5693	40770
674	5702	40760
675	5708	40735
676	5716	40728
677	5725	40718
678	5733	40708
679	5741	40695
680	5750	40689
681	5758	40679
682	5764	40654
683	5770	40626
684	5777	40614
685	5786	40609
686	5795	40599
687	5803	40589
688	5811	40578
689	5820	40573
690	5828	40562
691	5836	40550
692	5845	40543
693	5853	40533
694	5861	40525
695	5869	40513
696	5878	40509
697	5886	40500
698	5894	40488
699	5901	40465
700	5909	40454
701	5917	40444
702	5923	40422
703	5931	40410
704	5940	40402
705	5948	40391
706	5956	40383
707	5963	40366
708	5972	40361
709	5981	40353
710	5989	40343
711	5997	40332
712	6004	40314
713	6013	40305
714	6021	40295
715	6030	40291
716	6039	40287
717	6046	40269
718	6054	40260
719	6063	40255
720	6071	40246
721	6080	40239
722	6088	40229
723	6100	40242
724	6113	40262
725	6124	40273
726	6136	40288
727	6148	40300
728	6157	40301
729	6166	40294
730	6174	40284
731	6182	40273
732	6191	40263
733	6199	40254
734	6204	40224
735	6212	40211
736	6220	40203
737	6229	40193
738	6235	40173
739	6244	40165
740	6250	40142
741	6258	40132
742	6266	40123
743	6275	40112
744	6281	40094
745	6290	40085
746	6298	40077
747	6307	40069
748	6316	40067
749	6324	40054
750	6333	40048
751	6341	40041
752	6351	40037
753	6360	40033
754	6368	40026
755	6377	40022
756	6386	40016
757	6394	40004
758	6402	39994
759	6411	39984
760	6419	39974
761	6427	39962
762	6432	39936
763	6440	39926
764	6449	39919
765	6457	39907
766	6466	39900
767	6474	39891
768	6482	39883
769	6490	39872
770	6499	39865
771	6504	39835
772	6509	39804
773	6514	39778
774	6521	39762
775	6530	39752
776	6538	39743
777	6543	39712
778	6547	39680
779	6555	39670
780	6563	39661
781	6568	39632
782	6575	39612
783	6582	39596
784	6590	39587
785	6598	39575
786	6607	39568
787	6612	39538
788	6617	39511
789	6625	39498
790	6637	39514
791	6644	39499
792	6654	39500
793	6661	39483
794	6669	39473
795	6678	39467
796	6687	39464
797	6693	39439
798	6698	39410
799	6703	39380
800	6711	39372
801	6716	39342
802	6724	39333
803	6730	39309
804	6737	39296
805	6746	39289
806	6755	39286
807	6763	39277
808	6772	39270
809	6781	39262
810	6785	39233
811	6793	39221
812	6798	39194
813	6803	39166
814	6808	39140
815	6816	39130
816	6825	39121
817	6832	39107
818	6837	39079
819	6845	39069
820	6850	39041
821	6858	39034
822	6864	39007
823	6869	38982
824	6877	38971
825	6885	38961
826	6893	38952
827	6899	38929
828	6908	38923
829	6913	38900
830	6922	38892
831	6928	38872
832	6933	38848
833	6941	38838
834	6950	38830
835	6958	38820
836	6966	38812
837	6972	38787
838	6977	38760
839	6986	38756
840	6994	38750
841	7003	38741
842	7010	38728
843	7019	38722
844	7024	38695
845	7032	38684
846	7036	38655
847	7045	38648
848	7054	38645
849	7059	38619
850	7067	38607
851	7076	38605
852	7085	38599
853	7093	38588
854	7101	38580
855	7109	38571
856	7117	38562
857	7125	38551
858	7130	38525
859	7138	38516
860	7147	38509
861	7156	38504
862	7165	38501
863	7172	38485
864	7180	38478
865	7186	38454
866	7191	38429
867	7199	38422
868	7209	38417
869	7214	38392
870	7222	38386
871	7231	38380
872	7240	38374
873	7245	38351
874	7254	38346
875	7263	38340
876	7271	38333
877	7280	38324
878	7285	38300
879	7293	38290
880	7300	38276
881	7307	38261
882	7314	38243
883	7319	38218
884	7327	38208
885	7335	38202
886	7343	38192
887	7352	38186
888	7357	38160
889	7363	38142
890	7371	38133
891	7381	38129
892	7389	38124
893	7394	38099
894	7401	38084
895	7410	38079
896	7420	38077
897	7428	38070
898	7434	38048
899	7443	38044
900	7449	38023
901	7454	37999
902	7462	37989
903	7471	37983
904	7476	37959
905	7484	37951
906	7489	37925
907	7494	37900
908	7499	37876
909	7508	37873
910	7516	37864
911	7524	37855
912	7533	37847
913	7541	37841
914	7546	37817
915	7555	37809
916	7563	37799
917	7571	37793
918	7579	37784
919	7585	37763
920	7594	37756
921	7602	37748
922	7607	37726
923	7615	37716
924	7624	37710
925	7630	37689
926	7637	37678
927	7645	37668
928	7652	37654
929	7658	37634
930	7666	37625
931	7672	37604
932	7680	37597
933	7688	37588
934	7697	37581
935	7705	37571
936	7710	37547
937	7718	37539
938	7726	37531
939	7731	37507
940	7739	37498
941	7745	37476
942	7750	37451
943	7758	37444
944	7765	37430
945	7773	37422
946	7778	37398
947	7787	37390
948	7791	37366
949	7796	37340
950	7801	37316
951	7806	37292
952	7811	37268
953	7819	37260
954	7826	37249
955	7835	37242
956	7843	37233
957	7851	37226
958	7859	37216
959	7864	37193
960	7869	37169
961	7874	37143
962	7882	37135
963	7890	37126
964	7898	37118
965	7906	37111
966	7915	37104
967	7923	37095
968	7931	37088
969	7937	37068
970	7944	37055
971	7952	37044
972	7957	37023
973	7965	37015
974	7974	37009
975	7981	36994
976	7990	36991
977	7995	36970
978	8004	36965
979	8010	36944
980	8018	36937
981	8024	36921
982	8030	36902
983	8038	36893
984	8046	36882
985	8055	36877
986	8061	36859
987	8069	36850
988	8077	36844
989	8083	36826
990	8092	36820
991	8100	36810
992	8109	36804
993	8116	36794
994	8126	36793
995	8135	36787
996	8143	36780
997	8152	36778
998	8164	36785
999	8173	36782
1000	8183	36781
1001	8191	36773
1002	8200	36765
1003	8208	36758
1004	8217	36753
1005	8225	36744
1006	8233	36736
1007	8241	36728
1008	8250	36722
1009	8258	36713
1010	8267	36709
1011	8277	36707
1012	8285	36698
1013	8291	36681
1014	8300	36675
1015	8308	36670
1016	8313	36648
1017	8321	36639
1018	8330	36631
1019	8338	36624
1020	8345	36609
1021	8353	36601
1022	8361	36594
1023	8369	36584
1024	8378	36579
1025	8384	36562
1026	8392	36554
1027	8401	36547
1028	8406	36526
1029	8414	36517
1030	8423	36511
1031	8428	36491
1032	8437	36484
1033	8443	36467
1034	8451	36460
1035	8458	36445
1036	8468	36446
1037	8476	36438
1038	8485	36434
1039	8495	36431
1040	8501	36414
1041	8508	36403
1042	8514	36385
1043	8522	36377
1044	8530	36365
1045	8538	36355
1046	8546	36348
1047	8555	36345
1048	8561	36326
1049	8569	36318
1050	8579	36316
1051	8587	36308
1052	8592	36287
1053	8600	36278
1054	8607	36264
1055	8615	36256
1056	8621	36238
1057	8625	36215
1058	8631	36195
1059	8639	36187
1060	8648	36184
1061	8653	36164
1062	8659	36143
1063	8667	36135
1064	8675	36126
1065	8683	36118
1066	8689	36100
1067	8694	36080
1068	8703	36074
1069	8708	36055
1070	8716	36045
1071	8724	36038
1072	8730	36020
1073	8739	36016
1074	8745	36000
1075	8754	35992
1076	8759	35974
1077	8767	35966
1078	8772	35945
1079	8781	35937
1080	8789	35931
1081	8798	35924
1082	8806	35917
1083	8811	35896
1084	8820	35891
1085	8825	35871
1086	8835	35868
1087	8842	35858
1088	8850	35848
1089	8858	35840
1090	8867	35836
1091	8875	35829
1092	8884	35823
1093	8891	35809
1094	8899	35800
1095	8907	35792
1096	8916	35785
1097	8925	35783
1098	8931	35765
1099	8940	35760
1100	8946	35745
1101	8954	35737
1102	8962	35729
1103	8970	35721
1104	8979	35713
1105	8984	35693
1106	8992	35685
1107	9000	35675
1108	9008	35669
1109	9014	35653
1110	9023	35649
1111	9031	35640
1112	9038	35626
1113	9046	35616
1114	9054	35608
1115	9063	35603
1116	9072	35599
1117	9078	35581
1118	9084	35566
1119	9092	35557
1120	9101	35552
1121	9110	35548
1122	9118	35540
1123	9127	35533
1124	9135	35527
1125	9144	35521
1126	9152	35512
1127	9160	35504
1128	9168	35497
1129	9177	35490
1130	9185	35481
1131	9190	35463
1132	9198	35455
1133	9208	35453
1134	9215	35441
1135	9224	35435
1136	9229	35415
1137	9237	35409
1138	9244	35396
1139	9252	35387
1140	9262	35384
1141	9270	35376
1142	9278	35368
1143	9287	35362
1144	9296	35359
1145	9303	35345
1146	9311	35337
1147	9320	35332
1148	9328	35325
1149	9336	35316
1150	9343	35303
1151	9351	35295
1152	9360	35288
1153	9368	35280
1154	9376	35273
1155	9384	35265
1156	9393	35260
1157	9401	35252
1158	9410	35246
1159	9419	35241
1160	9427	35233
1161	9432	35214
1162	9441	35209
1163	9451	35206
1164	9459	35200
1165	9464	35180
1166	9474	35178
1167	9484	35176
1168	9491	35164
1169	9496	35145
1170	9506	35143
1171	9511	35125
1172	9517	35106
1173	9525	35099
1174	9533	35092
1175	9539	35077
1176	9548	35068
1177	9556	35060
1178	9564	35053
1179	9573	35049
1180	9581	35041
1181	9590	35034
1182	9599	35029
1183	9607	35021
1184	9615	35013
1185	9624	35006
1186	9633	35003
1187	9642	34998
1188	9652	34996
1189	9660	34988
1190	9667	34976
1191	9674	34964
1192	9682	34954
1193	9689	34942
1194	9697	34936
1195	9705	34927
1196	9714	34920
1197	9722	34912
1198	9730	34904
1199	9737	34892
1200	9742	34873
1201	9750	34864
1202	9756	34848
1203	9761	34829
1204	9769	34821
1205	9777	34814
1206	9782	34794
1207	9791	34788
1208	9796	34768
1209	9801	34749
1210	9809	34742
1211	9817	34735
1212	9825	34727
1213	9830	34707
1214	9839	34702
1215	9844	34683
1216	9855	34683
1217	9865	34681
1218	9873	34675
1219	9884	34675
1220	9893	34673
1221	9901	34663
1222	9909	34656
1223	9915	34637
1224	9919	34617
1225	9926	34604
1226	9934	34595
1227	9939	34577
1228	9944	34558
1229	9952	34549
1230	9960	34542
1231	9965	34524
1232	9971	34506
1233	9979	34499
1234	9984	34481
1235	9989	34462
1236	9997	34453
1237	10003	34436
1238	10009	34421
1239	10020	34426
1240	10039	34454
1241	10051	34461
1242	10064	34468
1243	10071	34457
1244	10081	34455
1245	10092	34455
1246	10097	34439
1247	10107	34435
1248	10116	34432
1249	10125	34428
1250	10131	34411
1251	10140	34407
1252	10146	34390
1253	10155	34386
1254	10163	34378
1255	10172	34373
1256	10181	34367
1257	10189	34359
1258	10198	34354
1259	10207	34349
1260	10213	34334
1261	10218	34316
1262	10227	34309
1263	10233	34294
1264	10242	34289
1265	10250	34281
1266	10258	34273
1267	10266	34265
1268	10271	34247
1269	10279	34239
1270	10287	34230
1271	10296	34222
